code,warehouse,office_id
AJO01,AJAS 1 WAREHOUSE NMIA,JMAJO
AJT01,AJAS 1 WAREHOUSE NMIA,JMAJT
ALB01,ADOLPH LEVY WAREHOUSE,JMALB
BFZ01,BASHCO ELLETSON FREEZONE,JMBFZ
BLR01,BLACK RIVER STORAGE AREA ,JMBLR
CSO01,CENTRAL SORTING OFFICE ,JMCSO
FRZNE,FREE ZONE,
KAB01,KGN AGEAN BUNKERING STORAGE,JMKAB
KAJ01,NMIA-AMERIJET WAREHOUSE ,JMKAJ
KCA01,NMIA-CARIBBEAN AIRLINES WAREHOUSE ,JMKCA
KCC01,KGN CEMENT PIER STORAGE ,JMKCC
KCP01,KGN COAL PIER STORAGE ,JMKCP
KCT01,KCT-CONTAINER ZONE,JMKCT
KCT03,EXPORTER PREMISES FOR CONT.,JMKCT
KDH01,NMIA-DHL WAREHOUSE,JMKDH
KED01,EXEC DIRECT AVIATION,JMKED
KFC01,FLIGHT CONNECTIONS WAREHOUSE,JMKFC
KFE01,NMIA-FEDEX WHAREHOUSE ,JMKFE
KGP01,KGN GYSUM PIER STORAGE ,JMKGP
KIN01,NMIA-Passenger Terminal,JMKIN
KLC01,KINGSTON LOGISTICS CENTER ,JMKLC
KSF01,SKY FR8,JMKSF
KSP01,KGN SHELL PIER STORAGE,JMKSP
KTLF1,KWL TOTAL LOGISTICS FACILTY ,JMKWL
KWB01,BERTH 1 - JMKWL,JMKWL
KWB02,BERTH 2 - JMKWL,JMKWL
KWB03,BERTH 3 - JMKWL,JMKWL
KWB04,BERTH 4 - JMKWL,JMKWL
KWB05,BERTH 5 - JMKWL,JMKWL
KWB06,BERTH 6 - JMKWL,JMKWL
KWB07,BERTH 7 - JMKWL,JMKWL
KWB08,BERTH 8 - JMKWL,JMKWL
KWB09,BERTH 9 - JMKWL,JMKWL
KWC01,KINGPORT WAREHOUSE - DOMESTIC,JMKWL
KWF01,KINGPORT FZ WHAREHOUSE 1,JMKFZ
KWF02,KINGPORT FZ WHAREHOUSE 2,JMKFZ
KWF03,KWL Freezone ,JMKFZ
KWP02,CAR PARK 2 - JMKWL,JMKWL
KWP06,CAR PARK 6 - JMKWL,JMKWL
KWT01,KWL TINSON PEN CAR PARK 1 DOME,JMKWL
KWT02,KWL TINSON PEN CAR PARK 2 TRANS,JMKWL
KWW01,WHERRY WHARF WAREHOUSE,JMKWW
MAC01,MBJ AIR CARGO - AJAS,JMMAC
MAC02,MBJ AIR CARGO - DHL,JMMAC
MAC03,MBJ AIR CARGO - CAL,JMMAC
MBJ01,MBJ - PASSENGER TERMINAL ,JMMBJ
MCP01,MOBAY CRUISE SHIP PIER STORAGE,JMMCP
MEC01,SIA-EXPORT CENTRE WAREHOUSE ,JMMEC
MIC01,IAM JET CENTRE STORAGE AREA ,JMMIC
MPH01,PORT JET CENTRE STORAGE AREA 1,JMMPH
MSB01,SEABOARD WAREHOUSE,JMMSB
OCJ01,IAN FLEMMING INT. AIRPORT,JMOCJ
OCP01,OCHO RIOS PIER - STORAGE AREA ,JMOCP
OSC01,KINGSTON ONE STOP CUSTOMS ,JMOSC
PJM01,PETROJAM STORES (TANKS),JMKPJ
PRO01,PORT ROYAL,JMPRO
QWH01,OVERTIME GOODS - QUEENS WAREHOUSE,JMNQW
RIB01,RIO BUENO STORAGE AREA ,JMRIB
ROP01,ROCKY POINT STORAGE AREA ,JMROP
SITE,AUTHORIZED FOR ON SITE EXAMINATION,
WAP01,WINDALCO PIER STORAGE,JMWAP
