Source File,Heading,Heading Description,Subcategory,HS Code,HS Description
0101_2022e.pdf,01.01,"Live horses, asses, mules and hinnies.",Horses,0101.21,Pure-bred breeding animals
0101_2022e.pdf,01.01,"Live horses, asses, mules and hinnies.",Horses,0101.29,Other
0101_2022e.pdf,01.01,"Live horses, asses, mules and hinnies.",Horses,0101.30,Asses
0101_2022e.pdf,01.01,"Live horses, asses, mules and hinnies.",Horses,0101.90,Other
0101_2022e.pdf,01.02,Live bovine animals.,Cattle,0102.21,Pure-bred breeding animals
0101_2022e.pdf,01.02,Live bovine animals.,Cattle,0102.29,Other
0101_2022e.pdf,01.02,Live bovine animals.,Buffalo,0102.31,Pure-bred breeding animals
0101_2022e.pdf,01.02,Live bovine animals.,Buffalo,0102.39,Other
0101_2022e.pdf,01.02,Live bovine animals.,Buffalo,0102.90,Other
0101_2022e.pdf,01.03,Live swine.,,0103.10,Pure-bred breeding animals
0101_2022e.pdf,01.03,Live swine.,Other,0103.91,Weighing less than 50 kg
0101_2022e.pdf,01.03,Live swine.,Other,0103.92,Weighing 50 kg or more
0101_2022e.pdf,01.04,Live sheep and goats.,,0104.10,Sheep
0101_2022e.pdf,01.04,Live sheep and goats.,,0104.20,Goats
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Weighing not more than 185 g,0105.11,Fowls of the species Gallus domesticus
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Weighing not more than 185 g,0105.12,Turkeys
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Weighing not more than 185 g,0105.13,Ducks
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Weighing not more than 185 g,0105.14,Geese
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Weighing not more than 185 g,0105.15,Guinea fowls
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Other,0105.94,Fowls of the species Gallus domesticus
0101_2022e.pdf,01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus,",Other,0105.99,Other
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.11,Primates
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.12,"Whales, dolphins and porpoises (mammals of the order"
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.13,Camels and other camelids (Camelidae)
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.14,Rabbits and hares
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.19,Other
0101_2022e.pdf,01.06,Other live animals.,Mammals,0106.20,Reptiles (including snakes and turtles)
0101_2022e.pdf,01.06,Other live animals.,Birds,0106.31,Birds of prey
0101_2022e.pdf,01.06,Other live animals.,Birds,0106.32,"Psittaciformes (including parrots, parakeets, macaws and"
0101_2022e.pdf,01.06,Other live animals.,Birds,0106.33,Ostriches; emus (Dromaius novaehollandiae)
0101_2022e.pdf,01.06,Other live animals.,Birds,0106.39,Other
0101_2022e.pdf,01.06,Other live animals.,Insects,0106.41,Bees
0101_2022e.pdf,01.06,Other live animals.,Insects,0106.49,Other
0101_2022e.pdf,01.06,Other live animals.,Insects,0106.90,Other
0102_2022e.pdf,02.01,"Meat of bovine animals, fresh or chilled.",,0201.10,Carcasses and half-carcasses
0102_2022e.pdf,02.01,"Meat of bovine animals, fresh or chilled.",,0201.20,Other cuts with bone in
